"gene_symbol","t"
"AHRR",-1.08285725446567
"COASY",-1.08310920050627
"NEMP2-DT",-1.08420486265575
"YWHAH",-1.08425076174707
"SCAF8",-1.0854993978009
"LOC105376844",-1.08598413547024
"LOC105374616",-1.08607089483983
"TMEM147",-1.08722300480558
"MPC2",-1.08766359469647
"TMEM250",-1.08870861899586
"CMC2",-1.08880702337712
"NBEAL1",-1.08911859949746
"COG1",-1.09002651929829
"EPM2AIP1",-1.09029009699826
"KRT19",-1.09031043005335
"DUS1L",-1.09049331320189
"LOC105374129",-1.09074660181307
"IDS",-1.09074680758787
"BMT2",-1.09222456345931
"NCSTN",-1.09236556173624
"GALNS",-1.09270503964853
"ADAL",-1.0928486760148
"SARS1",-1.09341929237161
"LOC107985675",-1.09399103914329
"NIBAN2",-1.09592301858423
"SLFNL1-AS1",-1.09647739137953
"PEX26",-1.09671974706101
"LOC112267857",-1.0982994218778
"PAXIP1",-1.09851443576858
"LOC107985481",-1.10149411008324
"IQCK",-1.10200375148902
"TMED6",-1.10264848218867
"MYH3",-1.10282283150761
"ADIPOQ",-1.10330016876958
"CCDC73",-1.10347755550891
"BMPR1A",-1.10382617151153
"DENND1B",-1.10406961806688
"HAND1",-1.10462780093701
"FAM171B",-1.1046477038036
"ZNF385B",-1.10544940124128
"LINC01018",-1.10545835980185
"NMB",-1.10676444357689
"EIF2AK3",-1.10775897585451
"PPIL3",-1.10844963591601
"VIPR2",-1.11014275648553
"MAP3K10",-1.11069283983825
"TALAM1",-1.11129443611729
"TTC7A",-1.11168489503374
"CD63",-1.11278059364775
"CNOT4",-1.1129101528875
"LOC105372117",-1.11381739493752
"LOC107983990",-1.114269359037
"HECTD2",-1.11503256181854
"LOC101928354",-1.11524969146511
"DENND1A",-1.11545501446773
"GTF2IP23",-1.11681606225186
"GALNT3",-1.11925490951711
"SNRPD1",-1.11955025915297
"SKIL",-1.12122986000586
"SNX30",-1.12164445834813
"TBC1D9B",-1.12283644214877
"MFSD11",-1.12291121956032
"CASTOR1",-1.12434168491341
"XIRP1",-1.12624685796797
"KIF26B",-1.12646867672779
"POLA1",-1.12712435454305
"CAMK1D",-1.12817631910909
"SNORD14A",-1.1288546390619
"KDELR2",-1.12959146642441
"CKM",-1.1303485335997
"ZFP3",-1.13080681228455
"DES",-1.13193516408039
"LINC02705",-1.13216896430252
"UVSSA",-1.13269204543887
"STK36",-1.13274146223344
"PRRC1",-1.13361250469562
"INPP4A",-1.13451051734605
"ACTR3C",-1.135848781405
"TCEANC2",-1.13652724008014
"TSSK4",-1.13781810239285
"SMARCA5-AS1",-1.13828709590091
"SS18L2",-1.13908319870256
"SF3A1",-1.13909804880355
"LOC105373490",-1.1397087353929
"EDRF1-AS1",-1.13983831106973
"L3MBTL2-AS1",-1.14012397255425
"GTF2E1",-1.14026465679636
"RGL4",-1.14041230850346
"CMTR1",-1.14081310658248
"ASTN2",-1.14132583461573
"LOC105370459",-1.14203257340803
"CCDC200",-1.14307752460768
"NADK2",-1.14347092778969
"MALAT1",-1.14370864554443
"LOC105373170",-1.14404092608631
"ERC1",-1.14417232248626
"FBXL8",-1.1441733252049
"ITGA3",-1.14464351767535
"SCMH1",-1.1450620823528
"TAS2R5",-1.14511473696802
"PABPC3",-1.14605201320236
"GASK1A",-1.14637670973782
"PPAN",-1.14945390688575
"SCAND2P",-1.15040126240234
"FAM184A",-1.15115800986038
"LOC105376224",-1.15224913462994
"PLEKHF1",-1.15393338891563
"CPTP",-1.15427560790834
"CACNA1C-AS2",-1.15432489785408
"SNORD116-21",-1.15467094024275
"KIF2C",-1.15470423309861
"LOC105370384",-1.15553395002241
"LOC105371121",-1.1580853139484
"TOR4A",-1.15824850632992
"CCDC107",-1.15895893771765
"FLJ46875",-1.15933870934899
"ZSCAN21",-1.15981295601715
"MAP3K14-AS1",-1.15982731540475
"NEURL1B",-1.16013885516202
"UQCRHL",-1.16033055374674
"MYDGF",-1.16092801718767
"SORCS1",-1.16185543256973
"TMEM223",-1.16186090095367
"RNF5P1",-1.16244406733769
"COX7B",-1.1627555063617
"FLOT1",-1.16296363898779
"FAM27B",-1.16383020239817
"RBIS",-1.16649276618638
"LOC105374304",-1.16663339058777
"DDX11",-1.1671301758776
"PIN4P1",-1.16744806595329
"DMPK",-1.16884809250087
"NEXMIF",-1.16938756878351
"POU5F1",-1.16962236116935
"ROM1",-1.16973028151129
"NIM1K",-1.16998723696719
"B4GALT3",-1.17125350295583
"SLC22A18AS",-1.17130316043498
"RAB7A",-1.17146275762969
"CDKAL1",-1.17206043338022
"CCL11",-1.17244238724435
"LAMB1",-1.17390493073049
"NAA10",-1.17654467907697
"ZNF137P",-1.17763698650117
"LOC107985405",-1.17976486037258
"LOC107984546",-1.18035861889161
"CDSN",-1.18113362899923
"TLCD4",-1.18172289604197
"ACACA",-1.18265577060232
"CRTC2",-1.18520459871115
"LINC02362",-1.18629014527471
"LOC107984847",-1.18736217773673
"EXOC3",-1.18764137645946
"GNGT2",-1.18800834540935
"NGFR",-1.18801228182681
"ERBIN",-1.18883465109669
"TM2D2",-1.1921520594398
"EPHA4",-1.19272650220743
"COLGALT1",-1.19305522575443
"ATP5MF-PTCD1",-1.193116294855
"SERTAD3",-1.19464238501342
"PPP1R2B",-1.19487949091078
"LOC284009",-1.19566648693335
"NBEA",-1.19819154965585
"UQCRB-AS1",-1.20028425267483
"TEX52",-1.20086235054042
"MOB1B",-1.20138856060996
"SLU7",-1.20244344713248
"SYCE1L",-1.20266237272292
"BBS10",-1.20307215381825
"SENP8",-1.20363500409881
"ANAPC10",-1.20368980884397
"THAP11",-1.20400116285679
"SPRED1",-1.2044501668365
"ZNF208",-1.20601434362468
"CASZ1",-1.20723082702851
"LOC112268280",-1.20824586501861
"TTC7B",-1.20932792667552
"THOC7",-1.20981982866856
"RIOK2",-1.21121311285043
"LRRC25",-1.21152061274641
"TBRG4",-1.21183949460585
"NUP50-DT",-1.21196209389137
"LINC02506",-1.21322182487136
"NFE2L1",-1.21425246641671
"COL23A1",-1.21459275814042
"ZBTB20",-1.21529506277745
"EDRF1",-1.21608031028176
"ICAM2",-1.21908410807016
"COQ8B",-1.21991422227503
"MIR5006",-1.22000363571642
"XLOC_008559",-1.22114756369485
"S100A16",-1.22245762082593
"GRPEL2-AS1",-1.22248226520572
"CASD1",-1.22256457471606
"ZNF506",-1.22324494545169
"VPS37B",-1.22324581342698
"SNORD3A",-1.2233005023698
"TMEM86A",-1.22335849297507
"CCR2",-1.22364581767501
"LOC105372798",-1.22441635233399
"GIT1",-1.22733358885969
"MIR922",-1.22783349652521
"CHD8",-1.23227700031993
"PDCL",-1.23343228010779
"CCNB1",-1.23418270749664
"RBM45",-1.2343452170542
"EPHA6",-1.23481268728172
"TMEM263",-1.23688303264835
"PLEKHM2",-1.23701284436366
"SEPTIN7",-1.23732260511283
"DERL2",-1.23992279989183
"PPP1R14B",-1.24009791151384
"QSOX2",-1.2401947571034
"RTF1",-1.24027107510318
"PSAT1",-1.2410295227953
"SLC25A3",-1.24171665539684
"SLC18B1",-1.24176345161915
"LINC02762",-1.24365219939489
"INE1",-1.24411828022179
"SUPT16H",-1.24449030088485
"WASH5P",-1.24512934457458
"TUBB1",-1.24631581414722
"LOC105374013",-1.24707814309031
